Name;TWK (g);logX;Class
RM086 (Catalina 081);12241;5,17;H
RM454 (Catalina 107);520;;Iron
GB273 (Catalina 472);487;5,30;H
GB275 (Catalina 480);425,08;5,18;H
RM517 (Catalina 167);391;4,48;L
MA052;327,38;4,53;L
MB066;325;5,25;Mesosiderite
GB194;315,28;3,65;LL
GB028 (Catalina 451);296,49;5,21;H
RM438 (Catalina 245);277;5,19;H
MB096;269;;
MB027 (Catalina 477);268,21;4,7;L
JG188;267,2;4,67;
RM087 (Catalina 082);258;5,00;H
Dm129;251,4;5,01;
MA276;250,05;4,70;
RM440 (Catalina 229);248;5,25;H
GA328;245,57;4,53;L
RM080;239,1;4,45;
RM077 (Catalina 047);237;5,38;H
GB300 (Catalina 490);224,84;5,09;H
RM076 (Catalina 201);219;4,99;H
RB113a;213,99;4,72;
RM110 (Catalina 075);208;4,82;H
GB027;202,54;5,13;
GA316;202,12;5,21;H
MB315;197,48;4,77;
MB182;196,46;4,91;
MB338;193,7;4,64;
MB049;182,11;4,79;
GA305;178,2;4,66;
JG152;176,9;5,00;
RB122;176,34;4,04;LL
GA229;175,17;ƒga242;
MA048;173,84;5,49;
RM098;173,6;5,02;
RB255;172,1;5,15;
MB037;171,03;4,55;
MB025;170,86;5,25;
GB054;167,04;4,45;L
Dm212;161;5,17;
RM038;161;4,86;
MA280;160,94;5,23;H
LA057;159,33;4,77;
RM453 (Catalina 146);159;5,13;H
RB185;158,13;5,03;
RB018;157,37;4,92;
GB148b;157,36;4,06;LL
MA191;156,78;4,01;
MB287;153,5;;
MA209;152,16;5,30;
GA069;151,36;5,12;
RB111;150,57;5,11;
MB323;148,85;4,28;
RM039;146,9;5,21;
RB003 (Catalina 465);145,41;4,95;H
RB086;145,27;5,07;H
GA301;143,81;5,16;
GA210;143,21;5,12;H
GB147a;134,07;4,01;L
JG155;133,98;4,76;
MA304a;125,41;4,99;
RB100;125,01;3,45;
RB256;122,7787;5,07;
GB180;120,51;4,01;LL
MB167;119,316;4,75;
RM099 (Catalina 049);117,3;4,00;LL
RB073;117,259;4,74;         
GB192 (Catalina 427);114,5;5,08;H
GB274;113,31;4,03;LL
GB219b;113,24;4,69;
RB085;110,111;4,84;
MA176;109,19;4,61;
RB130;107,8067;5,23;
RB226;107,8;4,8;
MA184;105,41;5,05;
GA055;105,1;;
MB055;102,6356;4,46;
RM065;102,5;4,66;
MB159;101,0312;5,1;
MB138;98,9363;5,11;H
GA289;98,87;4,68;
MB331;98,4712;4,44;
MA187b;98,26;5,19;
GA217;97,79;5,23;H
RM090 (Catalina 048);97,1;4,05;LL
RM455 (Catalina 108);97;5,45;Mesosiderite
RB058 (Catalina 448);96,38;4,54;L
MA053;94,94;4,57;
RM075;91,8;5,25;
Dm144;91,74;4,86;
MB086;91,4025;5,09;
RM043;89,8;4,76;
MB302;88,3366;3,98;
GB092;88,038;4,55;
MB199;87,051;4,69;
RB014 (Catalina 491);84,973;5,15;H
GB271;83,731;4,03;
JG173 (Catalina 410);83;4,62;H
RM060;82,3;4,83;
GA310;81,57;5,12;
GA297a;81,42;5,14;
GA325a;80,97;5,12;
GB024 (Catalina 484);80,383;5,15;H
MA299;80,09;4,79;
MB129;79,5195;4,86;
MA205a;79,31;5,26;Mesosiderite
GA209;79,03;5,20;H
MB194;78,457;4,63;
GB212;77,67;4,11;LL
RM042;77,6;5,19;
MB112;77,1489;5,4;
GA220;76,25;4,72;L
RM112;76,1;4,51;
JG177;76;4,54;L
RM016;75,8;5,08;
MB101;75,314;5,11;
RB010;75,018;4,64;
MB128;74,7113;4,58;
GB130a;71,809;4,10;LL
GB135 (Catalina 455);70,254;4,75;H
Dm135;69,09;5,22;
GB067 (Catalina 488);68,588;5,16;H
MA043;68,04;4,66;
MA067 (Catalina 475);67,12;4,38;L
GB219a (El Médano 513);66,902;5,20;H
GB182b;66,114;5,18;
JG156;66,0932;4,99;
GB216 (EL Médano 514);65,844;5,02;H
GA319 (Catalina 479);64,92;4,26; LL
RM041a (Catalina 092);64;4,88;L
GB107 (Catalina 426);63,989;5,25;H
GB208a (Catalina 434);63,778;5,10;H
GB022;60,438;5,20;H
GB147b;59,723;3,98;LL
RM108;59,1;4,76;
RM089;58,8;4,05;LL
GB288 (Catalina 473);57,973;4,98;H
MB148 (Catalina 445);57,787;4,6;L
RB015 (Catalina 447);57,612;4,01;LL
GB197a (Catalina 431);57,356;5,26;H
RM027;57,2;;
JG163 (Catalina 409);57;5,08;H
JG160;56,9448;5,22;H
RB063 (Catalina 481);56,024;5,18;H
MB067;55,8238;5,22;
GB186;55,256;3,98;LL
RM095;55,1;4,09;
GA216;55,01;5,23;H
MB322;54,4379;4,08;
MA183a;54,42;4,44;L
RB112;54,054;4,58;
GB080 (Catalina 441);53,656;4,33;L
MB102;53,1239;4,71;
RM035;53,1;4,67;
GB102;52,147;4,77;
GA313;51,57;5,20;
MB019;51,5245;4,5;
MB156;51,4838;4,68;
MA314;50,73;4,69;
RM037;50,5;4,95;
MA322;50,38;5,14;H
RB029 (Catalina 449);50,296;5,24;H
GA283;50,13;4,69;
MB145;49,6107;5,28;
GA282;49,59;4,70;
RB194;49,4576;4,02;LL
MB151;49,2243;5,22;
GA274;49,07;4,90;H
LA033;48,97;4,69;
RB205;48,8803;4,01;LL
MA278;48,36;4,45;L
MA081;48,27;5,00;H
GB291;47,8;4,79;
MA204;47,77;4,72;
MA320 (Catalina 476);46,67;5,23;H
GA206 (Catalina 474);46,41;4,72;H
RB214;46,1485;5,11;
MA274;53,8;5,42;Mesosiderite
Dm114;45,71;5,28;H
RB034;45,68;4,79;
MB077;45,5817;5,42;
MB033;45,3107;5,01;
MA296;45,16;4,75;
GA286;44,98;4,88;
MB314;44,7208;5,22;
GA202a;56,9;5,11;H
RB186;44,2928;4,09;LL
GB088 (Catalina 438);44,219;5,12;H
RB105;43,812;4,04;
MA080;42,98;5,36;Mesosiderite
GA237;41,75;5,47;Mesosiderite
GA304;41,12;5,53;Mesosiderite
RB053 (Catalina 450);41,036;4,70;L
GB267 (Catalina 459);40,814;4,94;H
GB204 (Catalina 437);39,734;4,03;LL
GB137 (Catalina 429);39,153;4,67;L
RB220;38,8396;5,15;
RB008;38,813;4,90;H
GB160 (Catalina 430);38,375;4,11;LL
RM079 (Catalina 004);37,5;5,62;Mesosiderite 
GB025;37,4;5,31;
MA177;37,3;4,78;
MA071;37,16;4,65;L
GB148a;36,74;4,13;LL
GA293;36,65;5,70;Mesosiderite
RB051 (Catalina 469);34,463;5,16;H
RB044 (Catalina 468);34,451;5,02;H
RB070 (Catalina 463);34,296;3,38;Eucrite
RM092;34;4,05;LL
GA315;32,96;5,12;H
MA197;31,96;5,36;Mesosiderite
GB303;31,651;4,00;LL
MA196;31,3;5,16;H
GB205;31,203;4,13;LL
GB297;31,156;4,00;LL
GB301 (Catalina 457);30,805;4,58;H
GB117;30,596;4,11;LL
GB096 (Catalina 399);30,429;5,60;Mesosiderite
RB071;30,343;4,74;
RM064 (Catalina 060);30;4,95;H
RB027 (Catalina 467);29,764;5,27;H
JG171;29,6647;4,58;L
JG167;29,3354;5,22;H
GB196a (Catalina 433);29,261;5,12;H
RB254;29,2476;4,07;LL
RB092;29,027;4,08;LL
RM001 (Catalina 045);29;4,09;LL
GB066 (Catalina 487);28,79;4,68;H
GB197b;28,703;5,18;H5
RM094;28,5;4,10;LL
GB266;28,428;4,08;LL
RB250;28,3135;3,94;LL
RB004 (Catalina 466);27,34;5,27;H
RB088 (Catalina 482);27,07;5,11;H
GB090a (Catalina 446);26,965;5,02;H
RB021 (Catalina 492);26,759;5,21;H
GB203b;26,497;4,17;LL
RM439 (Catalina 246);26;4,65;L
MA259;25,79;5,31;Mesosiderite
GB122 (Catalina 428);25,757;3,85;LL
MA290;25,2;5,20;H
GB218;25,023;4,55;LL
GB163 (Catalina 440);24,947;4,42;L
GA211;24,5;4,95;H
GB085 (Catalina 442);24,377;4,35;L
GB214;24,345;4,05;LL
GB203a;24,312;4,10;LL
LA042;24,29;5,23;H
RM022 (Catalina 226);23,8;4,17;L
GB140 (Catalina 435);23,576;4,20;LL
GB263;23,45;4,05;LL
RM103 (Catalina 050);23,2;3,99;LL
MA221;22,57;5,65;Mesosiderite
Dm138 (Catalina 478);22,27;5,10;H
GB116 (Catalina 471);22,191;4,11;LL
GB299;21,489;4,09;LL
GB262;21,32;4,09;LL
RB207 (Catalina 483);21,255;3,99;LL
RB134;20,9348;4,07;LL
GA312;20,7;5,26;H
Dm139;20,49;5,20;H
RB135;20,3926;4,09;LL
LA026;20,29;4,46;L
GB072;20,174;4,05;LL
RM041b (Catalina 034);20;4,05;LL
GB158 (Catalina 460);19,782;4,95;H
GB211;19,417;4,04;LL
GB295;19,202;4,04;LL
RB200;18,9409;4,05;LL
GB155 ;18,849;5,26;H
RB009 (Catalina 458);18,627;5,06;H
RB253;18,4786;4,06;LL
GB099 (Catalina 452);18,316;4,64;L
RM516 (Catalina 188);18;5,18;H
RB125;17,9048;4,01;LL
RM034 (Catalina 046);17,1;3,62;LL
RB248;16,8257;4,01;LL
GB149 (Catalina 432);16,44;3,90;LL
RB120;15,5809;4,07;LL
RB241;15,5499;4,05;LL
GB061 (Catalina 486);15,433;5,05;H
RB189;15,0009;4,04;LL
GB164 (Catalina 489);14,732;4,41;L
GB068 (Catalina 454);12,908;3,97;LL
GB081 (Catalina 436);12,632;4,30;L
GB178;12,454;4,41;L
GB086a (Catalina 470);12,272;4,26;LL
GB124 (Catalina 461);11,727;4,55;H
RB231;11,4098;4,07;LL
RM088;11,3;4,08;LL
RB183;11,0612;4,08;LL
RB238;10,9555;4,02;LL
RB193;10,5414;4,04;LL
GB049 (Catalina 453);9,827;4,58;L
RM051;9,7;4,95;H
GB115 (Catalina 439);8,989;3,93;LL
RB066;8,9868;4,08;LL
RB188;8,5296;4,07;LL
GB293;8,174;3,68;LL
RB038 (Catalina 462);7,767;3,17;LL
GB060 (Catalina 485);7,677;4,09;LL
RB252;7,5215;4,06;LL
RB184;7,3545;4,02;LL
RB080 (Catalina 493);7,078;5,01;H
RM509 (Catalina 163);7;4,93;H
MV110 (Catalina 423);6,19;4,85;H
RB191;5,7262;4,02;LL
RB138;5,4981;3,88;LL
RB223;4,9594;3,93;LL
RB218;4,676;3,9;LL
RB236;4,3595;3,97;LL
RB232;4,3367;4,07;LL
GB287;4,313;3,98;LL
RB229;4,2685;4,04;LL
MV106 (Catalina 464);3,03;5,39;H
GB084c (Catalina 456);1,936;4,75;H
MV109 (Catalina 424);1,74;5,37;H
GB278 (Catalina 443);1,1407;3,69;LL
